code;"Подразделение_К";title;"Количество_ППС"
1;"административной деятельности ОВД";"кафедра административной деятельности ОВД ФМ";24
2;"белорусского и иностранных языков";"кафедра белорусского и иностранных языков";14
3;"гражданского и трудового права";"кафедра гражданского и трудового права";16
4;"конституционного и МП";"кафедра конституционного и международного права";9
5;"криминалистики";"кафедра криминалистики";15
6;"криминалистических экспертиз";"кафедра криминалистических экспертиз
2017
ра криминалистических экспертиз СЭФ";7
7;"оперативно-розыскной деятельности";"кафедра оперативно-розыскной деятельности ФМ";20
8;"профессионально-прикладной физической подготовки";"кафедра профессионально-прикладной физической подготовки";27
9;"правовой информатики";"кафедра правовой информатики";15
10;"психологии и педагогики";"кафедра психологии и педагогики";10
11;"расследования преступлений";"кафедра расследования преступлений СЭФ";11
12;"судебной медицины";"кафедра судебной медицины";0
13;"теории и истории государства и права";"кафедра теории и истории государства и права";16
14;"тактико-специальной подготовки";"кафедра тактико-специальной подготовки ФМ";22
15;"уголовно-исполнительного права";"кафедра уголовно-исполнительного права УИФ";11
16;"уголовного права и криминологии";"кафедра уголовного права и криминологии";13
17;"уголовного процесса";"кафедра уголовного процесса
2014";14
18;"философии и идеологической работы";"кафедра философии и идеологической работы";11
19;"экономической безопасности";"кафедра экономической безопасности";16
20;"pуководство";"pуководство";8
21;"НИО";"научно-исследовательский отдел";
22;"УМО";"учебно-методический отдел";
23;"управления органами внутренних дел";"кафедра управления ОВД ФПК и ПРК";10
24;"иные подразделения";"иные подразделения";
